final_name	chr	start	stop	strand	prioritized	rank	sources_present	component_sources	component_names
Insilico_pop7830	chr1	5085052	5085072	+	N		insilico_pop	insilico_pop	Insilico_pop7830
Insilico_pop8694	chr1	5219000	5219020	+	N		insilico_pop	insilico_pop	Insilico_pop8694
Insilico_pop145	chr1	5228030	5228048	-	N		insilico_pop	insilico_pop	Insilico_pop145
Insilico_ref4120	chr1	5396731	5396749	-	N		insilico_ref	insilico_ref	Insilico_ref4120
Insilico_pop1741	chr1	5450795	5450814	-	N		insilico_pop	insilico_pop	Insilico_pop1741
Insilico_pop9133	chr1	5474712	5474730	+	N		insilico_pop	insilico_pop	Insilico_pop9133
Insilico_ref7087	chr1	5602353	5602369	-	N		insilico_ref	insilico_ref	Insilico_ref7087
Insilico_pop7831	chr1	5687150	5687169	+	N		insilico_pop	insilico_pop	Insilico_pop7831
Insilico_ref9428	chr1	5720245	5720264	+	N		insilico_ref	insilico_ref	Insilico_ref9428
Insilico_pop9135	chr1	5772650	5772668	+	N		insilico_pop	insilico_pop	Insilico_pop9135
Insilico_pop7389	chr1	5846071	5846091	+	N		insilico_pop	insilico_pop	Insilico_pop7389
Insilico_ref5954	chr1	5988642	5988662	+	N		insilico_ref	insilico_ref	Insilico_ref5954
Insilico_ref8207	chr1	6097244	6097258	-	N		insilico_ref	insilico_ref	Insilico_ref8207
Insilico_ref5253	chr1	6199845	6199863	+	N		insilico_ref	insilico_ref	Insilico_ref5253
Insilico_pop4375	chr1	6665365	6665379	-	N		insilico_pop	insilico_pop	Insilico_pop4375
Insilico_ref5657	chr1	6689203	6689221	+	N		insilico_ref	insilico_ref	Insilico_ref5657
Insilico_ref2452	chr1	6905156	6905175	-	N		insilico_ref	insilico_ref	Insilico_ref2452
Insilico_ref7863	chr1	7023242	7023261	-	N		insilico_ref	insilico_ref	Insilico_ref7863
Insilico_ref308	chr1	7083022	7083040	+	N		insilico_ref	insilico_ref	Insilico_ref308
Insilico_pop4376	chr1	7115446	7115464	+	N		insilico_pop	insilico_pop	Insilico_pop4376
Insilico_pop2759	chr1	7148867	7148886	-	N		insilico_pop	insilico_pop	Insilico_pop2759
Insilico_ref2872	chr1	7283556	7283573	-	N		insilico_ref	insilico_ref	Insilico_ref2872
Insilico_pop4584	chr1	7538448	7538465	+	N		insilico_pop	insilico_pop	Insilico_pop4584
Insilico_pop3045	chr1	8400179	8400199	-	N		insilico_pop	insilico_pop	Insilico_pop3045
Insilico_ref7657	chr1	8713394	8713413	-	N		insilico_ref	insilico_ref	Insilico_ref7657
Insilico_pop245	chr1	8738200	8738219	-	N		insilico_pop	insilico_pop	Insilico_pop245
Insilico_ref2712	chr1	8807797	8807816	+	N		insilico_ref	insilico_ref	Insilico_ref2712
Insilico_pop5447	chr1	9014404	9014421	-	N		insilico_pop	insilico_pop	Insilico_pop5447
Insilico_ref8532	chr1	9163854	9163869	+	N		insilico_ref	insilico_ref	Insilico_ref8532
Insilico_pop2760	chr1	9320093	9320110	+	N		insilico_pop	insilico_pop	Insilico_pop2760
Insilico_pop3264	chr1	9368276	9368292	-	N		insilico_pop	insilico_pop	Insilico_pop3264
Insilico_pop8698	chr1	9456506	9456520	+	N		insilico_pop	insilico_pop	Insilico_pop8698
Insilico_pop4586	chr1	9549230	9549247	+	N		insilico_pop	insilico_pop	Insilico_pop4586
Insilico_pop2081	chr1	10184725	10184740	-	N		insilico_pop	insilico_pop	Insilico_pop2081
Insilico_pop1552	chr1	10412797	10412833	+	N		insilico_pop	insilico_pop	Insilico_pop1552
Insilico_pop4570	chr1	10511776	10511793	-	N		insilico_pop	insilico_pop	Insilico_pop4570
Tier3_409	chr1	10647426	10647444	+	Y	115	UNCOVERseq	UNCOVERseq	Tier3_409
Insilico_pop993	chr1	10773046	10773063	+	N		insilico_pop	insilico_pop	Insilico_pop993
Insilico_ref8391	chr1	11069479	11069494	-	N		insilico_ref	insilico_ref	Insilico_ref8391
Insilico_ref8193	chr1	11191774	11191788	-	N		insilico_ref	insilico_ref	Insilico_ref8193
Tier6_196	chr1	11637006	11637025	+	N		UNCOVERseq	UNCOVERseq	Tier6_196
Insilico_pop1319	chr1	11684140	11684158	-	N		insilico_pop	insilico_pop	Insilico_pop1319
Insilico_pop7378	chr1	12807713	12807730	-	N		insilico_pop	insilico_pop	Insilico_pop7378
Insilico_pop343	chr1	12919826	12919845	-	N		insilico_pop	insilico_pop	Insilico_pop343
Insilico_ref4789	chr1	13094165	13094184	+	N		insilico_ref	insilico_ref	Insilico_ref4789
Insilico_pop7379	chr1	13114743	13114762	-	N		insilico_pop	insilico_pop	Insilico_pop7379
Insilico_ref4790	chr1	13132604	13132623	-	N		insilico_ref	insilico_ref	Insilico_ref4790
Insilico_pop7812	chr1	13230391	13230411	-	N		insilico_pop	insilico_pop	Insilico_pop7812
Insilico_pop344	chr1	13281938	13281957	+	N		insilico_pop	insilico_pop	Insilico_pop344
Insilico_pop1491	chr1	13391918	13391938	-	N		insilico_pop	insilico_pop	Insilico_pop1491
Insilico_pop5672	chr1	13417091	13417108	+	N		insilico_pop	insilico_pop	Insilico_pop5672
Insilico_pop7380	chr1	13430158	13430177	-	N		insilico_pop	insilico_pop	Insilico_pop7380
Insilico_pop8667_insilico_ref7229	chr1	13439085	13439105	+	N		insilico_pop;insilico_ref	insilico_pop;insilico_ref	Insilico_pop8667;Insilico_ref7229
Insilico_pop5316	chr1	13512008	13512024	-	N		insilico_pop	insilico_pop	Insilico_pop5316
Insilico_pop6037	chr1	13520289	13520307	-	N		insilico_pop	insilico_pop	Insilico_pop6037
Insilico_ref3894	chr1	13556712	13556731	-	N		insilico_ref	insilico_ref	Insilico_ref3894
Insilico_ref8753	chr1	13591238	13591257	+	N		insilico_ref	insilico_ref	Insilico_ref8753
Insilico_ref7671	chr1	13721812	13721834	-	N		insilico_ref	insilico_ref	Insilico_ref7671
Insilico_pop4360	chr1	13775154	13775172	+	N		insilico_pop	insilico_pop	Insilico_pop4360
Insilico_pop3032	chr1	13819407	13819423	-	N		insilico_pop	insilico_pop	Insilico_pop3032
Insilico_ref4111	chr1	13864610	13864629	-	N		insilico_ref	insilico_ref	Insilico_ref4111
Insilico_ref8016	chr1	13934697	13934714	+	N		insilico_ref	insilico_ref	Insilico_ref8016
Insilico_ref2438	chr1	13943663	13943681	+	N		insilico_ref	insilico_ref	Insilico_ref2438
Tier3_494	chr1	13956629	13956647	-	Y	136	UNCOVERseq	UNCOVERseq	Tier3_494
Insilico_ref8194	chr1	13957840	13957858	+	N		insilico_ref	insilico_ref	Insilico_ref8194
Tier3_579	chr1	14077620	14077639	+	Y	158	UNCOVERseq	UNCOVERseq	Tier3_579
Insilico_pop151_insilico_ref2862	chr1	14307523	14307541	+	N		insilico_pop;insilico_ref	insilico_pop;insilico_ref	Insilico_pop151;Insilico_ref2862
Insilico_ref5542	chr1	14324715	14324735	-	N		insilico_ref	insilico_ref	Insilico_ref5542
Insilico_pop4361	chr1	14614394	14614412	-	N		insilico_pop	insilico_pop	Insilico_pop4361
Insilico_ref2439	chr1	14842793	14842812	+	N		insilico_ref	insilico_ref	Insilico_ref2439
Insilico_pop933	chr1	15030058	15030078	-	N		insilico_pop	insilico_pop	Insilico_pop933
Insilico_pop3680	chr1	15064822	15064839	-	N		insilico_pop	insilico_pop	Insilico_pop3680
Insilico_pop3469	chr1	15081108	15081123	+	N		insilico_pop	insilico_pop	Insilico_pop3469
Insilico_pop1695	chr1	15212023	15212042	+	N		insilico_pop	insilico_pop	Insilico_pop1695
Insilico_pop3913	chr1	15251207	15251225	+	N		insilico_pop	insilico_pop	Insilico_pop3913
Insilico_pop3681	chr1	16054366	16054384	-	N		insilico_pop	insilico_pop	Insilico_pop3681
Insilico_ref5133	chr1	16115864	16115880	-	N		insilico_ref	insilico_ref	Insilico_ref5133
Insilico_pop4363	chr1	16333001	16333020	-	N		insilico_pop	insilico_pop	Insilico_pop4363
Insilico_ref6652	chr1	16373132	16373152	+	N		insilico_ref	insilico_ref	Insilico_ref6652
Insilico_ref6023	chr1	16452374	16452389	+	N		insilico_ref	insilico_ref	Insilico_ref6023
Insilico_pop2844	chr1	17036197	17036215	-	N		insilico_pop	insilico_pop	Insilico_pop2844
Tier3_276	chr1	17094261	17094280	-	Y	113	UNCOVERseq	UNCOVERseq	Tier3_276
Insilico_pop2191	chr1	17123212	17123229	+	N		insilico_pop	insilico_pop	Insilico_pop2191
Insilico_pop9116	chr1	17195244	17195263	+	N		insilico_pop	insilico_pop	Insilico_pop9116
Insilico_ref6601	chr1	17242926	17242946	+	N		insilico_ref	insilico_ref	Insilico_ref6601
Insilico_ref8673	chr1	17339475	17339491	+	N		insilico_ref	insilico_ref	Insilico_ref8673
Insilico_pop4877	chr1	17341993	17342012	-	N		insilico_pop	insilico_pop	Insilico_pop4877
Insilico_pop5787	chr1	17352028	17352038	+	N		insilico_pop	insilico_pop	Insilico_pop5787
Insilico_pop2192	chr1	17369047	17369062	+	N		insilico_pop	insilico_pop	Insilico_pop2192
Insilico_pop6559_insilico_ref7371	chr1	17476907	17476925	+	N		insilico_pop;insilico_ref	insilico_pop;insilico_ref	Insilico_pop6559;Insilico_ref7371
Insilico_pop4131_insilico_ref6024	chr1	17586654	17586670	+	N		insilico_pop;insilico_ref	insilico_pop;insilico_ref	Insilico_pop4131;Insilico_ref6024
Insilico_ref7848	chr1	17626980	17626998	+	N		insilico_ref	insilico_ref	Insilico_ref7848
Insilico_pop1993	chr1	17738896	17738912	-	N		insilico_pop	insilico_pop	Insilico_pop1993
Insilico_ref5134	chr1	17740215	17740231	-	N		insilico_ref	insilico_ref	Insilico_ref5134
Insilico_pop5548	chr1	17769956	17769973	-	N		insilico_pop	insilico_pop	Insilico_pop5548
Insilico_pop5320	chr1	17797158	17797176	-	N		insilico_pop	insilico_pop	Insilico_pop5320
Insilico_ref8674	chr1	17805223	17805241	-	N		insilico_ref	insilico_ref	Insilico_ref8674
Insilico_ref6471	chr1	17859313	17859333	-	N		insilico_ref	insilico_ref	Insilico_ref6471
Insilico_pop6172	chr1	17996693	17996712	-	N		insilico_pop	insilico_pop	Insilico_pop6172
Insilico_ref9418	chr1	18048672	18048689	+	N		insilico_ref	insilico_ref	Insilico_ref9418
Insilico_ref7655	chr1	18134202	18134223	-	N		insilico_ref	insilico_ref	Insilico_ref7655
Insilico_ref2444	chr1	18156657	18156675	+	N		insilico_ref	insilico_ref	Insilico_ref2444
Insilico_pop6561	chr1	18471374	18471393	-	N		insilico_pop	insilico_pop	Insilico_pop6561
Insilico_pop2847	chr1	19154692	19154710	-	N		insilico_pop	insilico_pop	Insilico_pop2847
Insilico_ref8675	chr1	19342957	19342975	+	N		insilico_ref	insilico_ref	Insilico_ref8675
Insilico_pop7818	chr1	19819765	19819785	-	N		insilico_pop	insilico_pop	Insilico_pop7818
Insilico_ref9173	chr1	20007794	20007812	-	N		insilico_ref	insilico_ref	Insilico_ref9173
Insilico_pop6979	chr1	20136457	20136472	+	N		insilico_pop	insilico_pop	Insilico_pop6979
Insilico_pop2754	chr1	20855082	20855101	+	N		insilico_pop	insilico_pop	Insilico_pop2754
Insilico_ref2445	chr1	21344454	21344473	+	N		insilico_ref	insilico_ref	Insilico_ref2445
Insilico_ref2694	chr1	21516474	21516492	-	N		insilico_ref	insilico_ref	Insilico_ref2694
Insilico_pop3687	chr1	21836655	21836672	+	N		insilico_pop	insilico_pop	Insilico_pop3687
Insilico_ref7378	chr1	22298469	22298489	-	N		insilico_ref	insilico_ref	Insilico_ref7378
Insilico_pop6567	chr1	22386017	22386034	-	N		insilico_pop	insilico_pop	Insilico_pop6567
Insilico_ref9176	chr1	22701189	22701206	+	N		insilico_ref	insilico_ref	Insilico_ref9176
Insilico_pop4369	chr1	22872900	22872917	+	N		insilico_pop	insilico_pop	Insilico_pop4369
Insilico_ref2447	chr1	23021873	23021892	-	N		insilico_ref	insilico_ref	Insilico_ref2447
Insilico_ref5472	chr1	23101068	23101085	+	N		insilico_ref	insilico_ref	Insilico_ref5472
Insilico_ref6655	chr1	23517424	23517442	-	N		insilico_ref	insilico_ref	Insilico_ref6655
Insilico_ref3900	chr1	23543626	23543646	+	N		insilico_ref	insilico_ref	Insilico_ref3900
Insilico_ref4291	chr1	23571946	23571965	+	N		insilico_ref	insilico_ref	Insilico_ref4291
Insilico_pop474_insilico_ref3901	chr1	23667404	23667423	-	N		insilico_pop;insilico_ref	insilico_pop;insilico_ref	Insilico_pop474;Insilico_ref3901
Insilico_pop1996	chr1	23716313	23716336	+	N		insilico_pop	insilico_pop	Insilico_pop1996
Insilico_pop5322	chr1	23885639	23885660	+	N		insilico_pop	insilico_pop	Insilico_pop5322
Insilico_pop7826	chr1	24010975	24010997	-	N		insilico_pop	insilico_pop	Insilico_pop7826
Insilico_ref8982	chr1	24033250	24033267	+	N		insilico_ref	insilico_ref	Insilico_ref8982
Insilico_ref4117	chr1	24224336	24224356	-	N		insilico_ref	insilico_ref	Insilico_ref4117
Insilico_ref2868	chr1	24420420	24420438	+	N		insilico_ref	insilico_ref	Insilico_ref2868
Insilico_pop9130	chr1	25217182	25217200	+	N		insilico_pop	insilico_pop	Insilico_pop9130
Insilico_ref7855	chr1	25295746	25295763	+	N		insilico_ref	insilico_ref	Insilico_ref7855
Insilico_pop5791	chr1	25338848	25338865	+	N		insilico_pop	insilico_pop	Insilico_pop5791
Insilico_pop2089_insilico_ref5001	chr1	25527687	25527706	+	N		insilico_pop;insilico_ref	insilico_pop;insilico_ref	Insilico_pop2089;Insilico_ref5001
Insilico_pop5920	chr1	25647870	25647887	+	N		insilico_pop	insilico_pop	Insilico_pop5920
Insilico_ref7235	chr1	25787061	25787080	+	N		insilico_ref	insilico_ref	Insilico_ref7235
Insilico_ref6108	chr1	25832788	25832808	-	N		insilico_ref	insilico_ref	Insilico_ref6108
Insilico_ref4118	chr1	26021295	26021314	-	N		insilico_ref	insilico_ref	Insilico_ref4118
Insilico_ref4292	chr1	26150389	26150408	+	N		insilico_ref	insilico_ref	Insilico_ref4292
Tier3_632	chr1	26190575	26190593	+	Y	180	UNCOVERseq	UNCOVERseq	Tier3_632
Insilico_pop5325	chr1	26295692	26295713	-	N		insilico_pop	insilico_pop	Insilico_pop5325
Tier6_559	chr1	26398337	26398356	-	N		UNCOVERseq	UNCOVERseq	Tier6_559
Insilico_ref5	chr1	26452423	26452442	+	Y	191	insilico_ref	insilico_ref	Insilico_ref5
Insilico_pop1608	chr1	26540133	26540151	+	N		insilico_pop	insilico_pop	Insilico_pop1608
Insilico_pop5326	chr1	26567342	26567361	-	N		insilico_pop	insilico_pop	Insilico_pop5326
Insilico_pop4372	chr1	26734191	26734209	-	N		insilico_pop	insilico_pop	Insilico_pop4372
Insilico_ref3384	chr1	26876880	26876898	+	N		insilico_ref	insilico_ref	Insilico_ref3384
Insilico_pop5445	chr1	26998179	26998196	+	N		insilico_pop	insilico_pop	Insilico_pop5445
Insilico_ref105	chr1	27127948	27127966	-	N		insilico_ref	insilico_ref	Insilico_ref105
Insilico_pop5921	chr1	27755817	27755832	-	N		insilico_pop	insilico_pop	Insilico_pop5921
Insilico_ref6347	chr1	28144664	28144683	-	N		insilico_ref	insilico_ref	Insilico_ref6347
Insilico_pop1407_insilico_ref6178	chr1	28177663	28177683	-	N		insilico_pop;insilico_ref	insilico_pop;insilico_ref	Insilico_pop1407;Insilico_ref6178
Insilico_pop5550	chr1	28179896	28179916	+	N		insilico_pop	insilico_pop	Insilico_pop5550
Insilico_pop5675	chr1	28611192	28611209	+	N		insilico_pop	insilico_pop	Insilico_pop5675
Insilico_pop1609	chr1	28843364	28843381	-	N		insilico_pop	insilico_pop	Insilico_pop1609
Insilico_pop4134	chr1	29050361	29050376	+	N		insilico_pop	insilico_pop	Insilico_pop4134
Insilico_ref5546	chr1	29085963	29085980	-	N		insilico_ref	insilico_ref	Insilico_ref5546
Insilico_ref6476	chr1	29234543	29234562	-	N		insilico_ref	insilico_ref	Insilico_ref6476
Insilico_pop5551	chr1	29332859	29332877	-	N		insilico_pop	insilico_pop	Insilico_pop5551
Insilico_ref6881	chr1	29423957	29423974	-	N		insilico_ref	insilico_ref	Insilico_ref6881
Insilico_pop9131	chr1	29499772	29499789	-	N		insilico_pop	insilico_pop	Insilico_pop9131
Insilico_pop7828	chr1	29527159	29527176	+	N		insilico_pop	insilico_pop	Insilico_pop7828
Insilico_ref7380	chr1	29663905	29663924	-	N		insilico_ref	insilico_ref	Insilico_ref7380
Insilico_ref8983	chr1	30220052	30220069	+	N		insilico_ref	insilico_ref	Insilico_ref8983
Insilico_ref7236	chr1	30253024	30253044	+	N		insilico_ref	insilico_ref	Insilico_ref7236
Insilico_pop6183	chr1	30484239	30484254	-	N		insilico_pop	insilico_pop	Insilico_pop6183
Insilico_ref9424	chr1	30546722	30546739	+	N		insilico_ref	insilico_ref	Insilico_ref9424
Insilico_pop2197_insilico_ref8873	chr1	30617204	30617221	+	N		insilico_pop;insilico_ref	insilico_pop;insilico_ref	Insilico_pop2197;Insilico_ref8873
Insilico_ref8984	chr1	30838918	30838936	-	N		insilico_ref	insilico_ref	Insilico_ref8984
Insilico_ref6214	chr1	31358756	31358775	+	N		insilico_ref	insilico_ref	Insilico_ref6214
Insilico_ref8860	chr1	31464750	31464768	-	N		insilico_ref	insilico_ref	Insilico_ref8860
Insilico_pop6571	chr1	31884190	31884206	+	N		insilico_pop	insilico_pop	Insilico_pop6571
Insilico_ref4545	chr1	31956326	31956344	-	N		insilico_ref	insilico_ref	Insilico_ref4545
Insilico_ref3361	chr1	32154710	32154730	+	N		insilico_ref	insilico_ref	Insilico_ref3361
Insilico_ref5856	chr1	32285978	32285994	+	N		insilico_ref	insilico_ref	Insilico_ref5856
Insilico_ref8678	chr1	32360089	32360106	-	N		insilico_ref	insilico_ref	Insilico_ref8678
Insilico_pop477	chr1	32704802	32704822	-	N		insilico_pop	insilico_pop	Insilico_pop477
Insilico_ref9177	chr1	33038234	33038249	-	N		insilico_ref	insilico_ref	Insilico_ref9177
Insilico_pop4135	chr1	33573629	33573643	+	N		insilico_pop	insilico_pop	Insilico_pop4135
Insilico_ref5655	chr1	33952093	33952114	+	N		insilico_ref	insilico_ref	Insilico_ref5655
Insilico_ref2594	chr1	34017363	34017381	-	N		insilico_ref	insilico_ref	Insilico_ref2594
Insilico_pop3690	chr1	34069386	34069404	+	N		insilico_pop	insilico_pop	Insilico_pop3690
Insilico_ref5434	chr1	34069517	34069536	+	N		insilico_ref	insilico_ref	Insilico_ref5434
Insilico_pop3259	chr1	34134142	34134158	-	N		insilico_pop	insilico_pop	Insilico_pop3259
Insilico_pop5676	chr1	34199527	34199545	+	N		insilico_pop	insilico_pop	Insilico_pop5676
Insilico_ref7518	chr1	34221068	34221086	+	N		insilico_ref	insilico_ref	Insilico_ref7518
Insilico_pop6184	chr1	34238919	34238936	-	N		insilico_pop	insilico_pop	Insilico_pop6184
Insilico_pop8252	chr1	34243998	34244012	-	N		insilico_pop	insilico_pop	Insilico_pop8252
Insilico_ref7237	chr1	34352352	34352370	-	N		insilico_ref	insilico_ref	Insilico_ref7237
Insilico_pop6985	chr1	34441142	34441162	-	N		insilico_pop	insilico_pop	Insilico_pop6985
Insilico_ref9425	chr1	34481357	34481372	+	N		insilico_ref	insilico_ref	Insilico_ref9425
Insilico_pop6572	chr1	34699537	34699554	+	N		insilico_pop	insilico_pop	Insilico_pop6572
Insilico_ref9714	chr1	34729240	34729257	-	N		insilico_ref	insilico_ref	Insilico_ref9714
Insilico_pop8691	chr1	34802280	34802298	-	N		insilico_pop	insilico_pop	Insilico_pop8691
Insilico_pop5792	chr1	35007204	35007221	+	N		insilico_pop	insilico_pop	Insilico_pop5792
Insilico_ref4293	chr1	35146035	35146054	+	N		insilico_ref	insilico_ref	Insilico_ref4293
Insilico_ref6882	chr1	35213265	35213286	+	N		insilico_ref	insilico_ref	Insilico_ref6882
Insilico_ref9178	chr1	35229589	35229605	+	N		insilico_ref	insilico_ref	Insilico_ref9178
Insilico_ref3577	chr1	35273810	35273829	+	N		insilico_ref	insilico_ref	Insilico_ref3577
Insilico_pop5120	chr1	35531010	35531027	+	N		insilico_pop	insilico_pop	Insilico_pop5120
Insilico_pop1610	chr1	36249296	36249314	-	N		insilico_pop	insilico_pop	Insilico_pop1610
Insilico_pop1857	chr1	36739155	36739174	+	N		insilico_pop	insilico_pop	Insilico_pop1857
Insilico_ref2699	chr1	36911331	36911349	-	N		insilico_ref	insilico_ref	Insilico_ref2699
Insilico_ref9179	chr1	37060998	37061018	-	N		insilico_ref	insilico_ref	Insilico_ref9179
Insilico_pop728	chr1	37123393	37123412	-	N		insilico_pop	insilico_pop	Insilico_pop728
Insilico_pop6573	chr1	37130568	37130584	-	N		insilico_pop	insilico_pop	Insilico_pop6573
Insilico_ref4797	chr1	37603982	37604000	-	N		insilico_ref	insilico_ref	Insilico_ref4797
Insilico_ref6883	chr1	37781206	37781224	-	N		insilico_ref	insilico_ref	Insilico_ref6883
Insilico_ref5656	chr1	37920118	37920137	+	N		insilico_ref	insilico_ref	Insilico_ref5656
Insilico_pop9560	chr1	38007251	38007267	+	N		insilico_pop	insilico_pop	Insilico_pop9560
Insilico_ref3904	chr1	38384697	38384714	-	N		insilico_ref	insilico_ref	Insilico_ref3904
Insilico_pop2296	chr1	38560643	38560660	+	N		insilico_pop	insilico_pop	Insilico_pop2296
Insilico_pop9132	chr1	38782822	38782839	+	N		insilico_pop	insilico_pop	Insilico_pop9132
Insilico_pop5327	chr1	39026445	39026461	-	N		insilico_pop	insilico_pop	Insilico_pop5327
Insilico_ref2700	chr1	39183155	39183174	+	N		insilico_ref	insilico_ref	Insilico_ref2700
Insilico_ref2701	chr1	39276511	39276531	-	N		insilico_ref	insilico_ref	Insilico_ref2701
Insilico_ref2702	chr1	39350437	39350456	+	N		insilico_ref	insilico_ref	Insilico_ref2702
Insilico_ref5770	chr1	39397833	39397850	+	N		insilico_ref	insilico_ref	Insilico_ref5770
Insilico_pop2858	chr1	39429151	39429171	-	N		insilico_pop	insilico_pop	Insilico_pop2858
Insilico_pop5217	chr1	39495951	39495968	-	N		insilico_pop	insilico_pop	Insilico_pop5217
Insilico_pop5121__Insilico_pop5122	chr1	39689224	39689241	+	N		insilico_pop	insilico_pop;insilico_pop	Insilico_pop5121;Insilico_pop5122
Insilico_ref4119	chr1	39721978	39721996	-	N		insilico_ref	insilico_ref	Insilico_ref4119
Insilico_ref2595	chr1	39855834	39855852	-	N		insilico_ref	insilico_ref	Insilico_ref2595
Insilico_ref2449	chr1	39881595	39881613	+	N		insilico_ref	insilico_ref	Insilico_ref2449
Insilico_ref4798	chr1	39934893	39934912	+	N		insilico_ref	insilico_ref	Insilico_ref4798
Insilico_pop2393	chr1	39940789	39940810	-	N		insilico_pop	insilico_pop	Insilico_pop2393
Insilico_pop3920	chr1	39961235	39961253	-	N		insilico_pop	insilico_pop	Insilico_pop3920
Insilico_pop1470	chr1	40066752	40066771	+	N		insilico_pop	insilico_pop	Insilico_pop1470
Insilico_pop7829	chr1	40257611	40257629	-	N		insilico_pop	insilico_pop	Insilico_pop7829
Insilico_pop5218	chr1	40387593	40387611	+	N		insilico_pop	insilico_pop	Insilico_pop5218
Insilico_ref2870	chr1	40462581	40462601	+	N		insilico_ref	insilico_ref	Insilico_ref2870
Insilico_pop4578	chr1	40814570	40814588	-	N		insilico_pop	insilico_pop	Insilico_pop4578
Insilico_ref3847	chr1	41151816	41151835	+	N		insilico_ref	insilico_ref	Insilico_ref3847
Insilico_pop2669	chr1	41282473	41282490	-	N		insilico_pop	insilico_pop	Insilico_pop2669
Insilico_pop8692	chr1	41410259	41410278	-	N		insilico_pop	insilico_pop	Insilico_pop8692
Insilico_pop5446	chr1	41561734	41561739	-	N		insilico_pop	insilico_pop	Insilico_pop5446
Insilico_pop1611	chr1	41578158	41578173	-	N		insilico_pop	insilico_pop	Insilico_pop1611
Insilico_pop632	chr1	42157654	42157673	-	N		insilico_pop	insilico_pop	Insilico_pop632
Insilico_pop6041	chr1	42172442	42172457	-	N		insilico_pop	insilico_pop	Insilico_pop6041
Insilico_ref5857	chr1	42200795	42200813	-	N		insilico_ref	insilico_ref	Insilico_ref5857
Insilico_ref233	chr1	42323675	42323694	-	N		insilico_ref	insilico_ref	Insilico_ref233
Insilico_ref9180	chr1	42427628	42427648	+	N		insilico_ref	insilico_ref	Insilico_ref9180
Insilico_pop3042	chr1	42535321	42535338	+	N		insilico_pop	insilico_pop	Insilico_pop3042
Insilico_pop2756	chr1	42596883	42596901	+	N		insilico_pop	insilico_pop	Insilico_pop2756
Insilico_pop3921	chr1	42623355	42623372	-	N		insilico_pop	insilico_pop	Insilico_pop3921
Insilico_pop7388	chr1	42880481	42880496	+	N		insilico_pop	insilico_pop	Insilico_pop7388
Insilico_pop3260	chr1	42950579	42950598	+	N		insilico_pop	insilico_pop	Insilico_pop3260
Insilico_pop2670	chr1	43127796	43127816	-	N		insilico_pop	insilico_pop	Insilico_pop2670
Insilico_ref8206	chr1	43239324	43239341	+	N		insilico_ref	insilico_ref	Insilico_ref8206
Insilico_pop4822	chr1	43282399	43282416	+	N		insilico_pop	insilico_pop	Insilico_pop4822
Insilico_ref5771	chr1	43306144	43306160	+	N		insilico_ref	insilico_ref	Insilico_ref5771
Insilico_pop5552	chr1	43934849	43934868	+	N		insilico_pop	insilico_pop	Insilico_pop5552
