chr,start,stop,strand,Name,Location,Lev. Dist.,Gene,Annot.,Pool,MAR,Tier,Tier_Final,Site Type,Origin,Avg. % On-Target UMI,orig_chr,orig_start,orig_stop,orig_strand,orig_Name
chr1,218069512,218069531,+,Tier6_311,chr1:218069512-218069531(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.005,chr1,218069512,218069531,+,Tier6_311
chr1,222725837,222725856,+,Tier6_526,chr1:222725837-222725856(+),5,BROX,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.002,chr1,222725837,222725856,+,Tier6_526
chr1,227853631,227853650,+,Tier6_98,chr1:227853631-227853650(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.008,chr1,227853631,227853650,+,Tier6_98
chr1,237470172,237470191,-,Tier3_255,chr1:237470172-237470191(-),6,RYR2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr1,237470172,237470191,-,Tier3_255
chr1,239652056,239652075,-,Tier3_267,chr1:239652056-239652075(-),5,CHRM3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr1,239652056,239652075,-,Tier3_267
chr1,245241009,245241028,-,Tier3_262,chr1:245241009-245241028(-),3,KIF26B,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr1,245241009,245241028,-,Tier3_262
chr10,19605660,19605677,-,Tier3_418,chr10:19605660-19605677(-),6,MALRD1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr10,19605660,19605677,-,Tier3_418
chr10,21216301,21216320,+,Tier3_277,chr10:21216301-21216320(+),6,NEBL,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr10,21216301,21216320,+,Tier3_277
chr10,24472761,24472779,+,Tier3_634,chr10:24472761-24472779(+),5,KIAA1217,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.001,chr10,24472761,24472779,+,Tier3_634
chr10,27571247,27571266,-,Tier6_447,chr10:27571247-27571266(-),6,LINC02680,Other,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr10,27571247,27571266,-,Tier6_447
chr10,29817763,29817782,+,Tier6_77,chr10:29817763-29817782(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.009,chr10,29817763,29817782,+,Tier6_77
chr10,42877491,42877510,-,Tier6_179,chr10:42877491-42877510(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.007,chr10,42877491,42877510,-,Tier6_179
chr10,56208833,56208852,-,Tier6_299,chr10:56208833-56208852(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.005,chr10,56208833,56208852,-,Tier6_299
chr10,57164162,57164181,-,Tier6_522,chr10:57164162-57164181(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr10,57164162,57164181,-,Tier6_522
chr10,57583224,57583243,+,Tier6_493,chr10:57583224-57583243(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr10,57583224,57583243,+,Tier6_493
chr10,67320894,67320913,+,Tier3_428,chr10:67320894-67320913(+),6,CTNNA3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr10,67320894,67320913,+,Tier3_428
chr10,77438574,77438593,+,Tier3_141,chr10:77438574-77438593(+),6,KCNMA1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.007,chr10,77438574,77438593,+,Tier3_141
chr10,85285380,85285397,-,Tier6_442,chr10:85285380-85285397(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr10,85285380,85285397,-,Tier6_442
chr10,86130708,86130727,-,Tier3_235,chr10:86130708-86130727(-),6,GRID1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr10,86130708,86130727,-,Tier3_235
chr10,90867819,90867838,+,Tier6_100,chr10:90867819-90867838(+),5,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.008,chr10,90867819,90867838,+,Tier6_100
chr10,99899230,99899249,-,Tier3_509,chr10:99899230-99899249(-),4,DNMBP,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.003,chr10,99899230,99899249,-,Tier3_509
chr10,109763631,109763650,+,Tier6_543,chr10:109763631-109763650(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr10,109763631,109763650,+,Tier6_543
chr10,115732543,115732562,-,Tier3_265,chr10:115732543-115732562(-),6,ATRNL1,Exon,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr10,115732543,115732562,-,Tier3_265
chr10,116512786,116512805,+,Tier6_151,chr10:116512786-116512805(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.007,chr10,116512786,116512805,+,Tier6_151
chr10,123430990,123431010,+,Tier6_102,chr10:123430990-123431010(+),5,LINC02641,Other,NONE,Med.,6,6,OFF,UNCOVERseq,0.008,chr10,123430990,123431010,+,Tier6_102
chr10,133688269,133688288,-,Tier3_258,chr10:133688269-133688288(-),6,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.005,chr10,133688269,133688288,-,Tier3_258
chr10,133689819,133689838,+,Tier6_515,chr10:133689819-133689838(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr10,133689819,133689838,+,Tier6_515
chr11,21056657,21056676,-,Tier3_588,chr11:21056657-21056676(-),6,NELL1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.002,chr11,21056657,21056676,-,Tier3_588
chr11,28093294,28093313,-,Tier6_385,chr11:28093294-28093313(-),6,KIF18A,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.004,chr11,28093294,28093313,-,Tier6_385
chr11,29519088,29519107,-,Tier6_405,chr11:29519088-29519107(-),6,LINC02755,Other,NONE,Low,6,6,OFF,UNCOVERseq,0.004,chr11,29519088,29519107,-,Tier6_405
chr11,30052979,30052998,-,Tier3_140,chr11:30052979-30052998(-),6,ARL14EP-DT,Other,NONE,High,3,3,OFF,UNCOVERseq,0.007,chr11,30052979,30052998,-,Tier3_140
chr11,30759946,30759965,-,Tier6_542,chr11:30759946-30759965(-),6,LOC101928338,Other,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr11,30759946,30759965,-,Tier6_542
chr11,30803056,30803075,+,Tier6_71,chr11:30803056-30803075(+),6,LOC101928338,Other,NONE,Low,6,6,OFF,UNCOVERseq,0.01,chr11,30803056,30803075,+,Tier6_71
chr11,41045467,41045487,+,Tier3_237,chr11:41045467-41045487(+),6,LRRC4C,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr11,41045467,41045487,+,Tier3_237
chr11,42334948,42334967,-,Tier6_197,chr11:42334948-42334967(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.006,chr11,42334948,42334967,-,Tier6_197
chr11,42361906,42361924,-,Tier6_189,chr11:42361906-42361924(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.006,chr11,42361906,42361924,-,Tier6_189
chr11,42754280,42754299,+,Tier6_298,chr11:42754280-42754299(+),5,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.005,chr11,42754280,42754299,+,Tier6_298
chr11,43509450,43509467,-,Tier6_492,chr11:43509450-43509467(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr11,43509450,43509467,-,Tier6_492
chr11,49631222,49631240,+,Tier6_406,chr11:49631222-49631240(+),6,GRM5P1,Other,NONE,Low,6,6,OFF,UNCOVERseq,0.004,chr11,49631222,49631240,+,Tier6_406
chr11,56318538,56318557,+,Tier3_94,chr11:56318538-56318557(+),6,OR8K3,Exon,NONE,Med.,3,3,OFF,UNCOVERseq,0.009,chr11,56318538,56318557,+,Tier3_94
chr11,56579588,56579606,+,Tier6_491,chr11:56579588-56579606(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr11,56579588,56579606,+,Tier6_491
chr11,56828776,56828795,+,Tier6_615,chr11:56828776-56828795(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr11,56828776,56828795,+,Tier6_615
chr11,65425247,65425266,+,Tier3_145,chr11:65425247-65425266(+),5,NEAT1,Exon,NONE,Med.,3,3,OFF,UNCOVERseq,0.007,chr11,65425247,65425266,+,Tier3_145
chr11,67502935,67502955,-,Tier6_541,chr11:67502935-67502955(-),6,PITPNM1,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.002,chr11,67502935,67502955,-,Tier6_541
chr11,68999962,68999979,-,Tier6_407,chr11:68999962-68999979(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.004,chr11,68999962,68999979,-,Tier6_407
chr11,69038091,69038111,+,Tier6_386,chr11:69038091-69038111(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.004,chr11,69038091,69038111,+,Tier6_386
chr11,69584391,69584410,-,Tier6_438,chr11:69584391-69584410(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr11,69584391,69584410,-,Tier6_438
chr11,69668660,69668679,-,Tier6_251,chr11:69668660-69668679(-),6,LTO1,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.005,chr11,69668660,69668679,-,Tier6_251
chr11,70167770,70167789,-,Tier3_583,chr11:70167770-70167789(-),6,ANO1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.002,chr11,70167770,70167789,-,Tier3_583
chr11,79848104,79848123,+,Tier6_376,chr11:79848104-79848123(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.004,chr11,79848104,79848123,+,Tier6_376
chr11,80947774,80947793,+,Tier3_26,chr11:80947774-80947793(+),2,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.019,chr11,80947774,80947793,+,Tier3_26
chr11,81095321,81095339,+,Tier6_63,chr11:81095321-81095339(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.011,chr11,81095321,81095339,+,Tier6_63
chr11,81183194,81183213,+,Tier6_336,chr11:81183194-81183213(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.004,chr11,81183194,81183213,+,Tier6_336
chr11,82236923,82236942,-,Tier6_303,chr11:82236923-82236942(-),6,MIR4300HG,Other,NONE,Med.,6,6,OFF,UNCOVERseq,0.005,chr11,82236923,82236942,-,Tier6_303
chr11,91703164,91703183,-,Tier6_109,chr11:91703164-91703183(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.008,chr11,91703164,91703183,-,Tier6_109
chr11,96258267,96258286,-,Tier6_314,chr11:96258267-96258286(-),6,MAML2,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.005,chr11,96258267,96258286,-,Tier6_314
chr11,124700958,124700977,-,Tier6_324,chr11:124700958-124700977(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.005,chr11,124700958,124700977,-,Tier6_324
chr11,130456094,130456112,-,Tier3_410,chr11:130456094-130456112(-),4,ADAMTS15,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr11,130456094,130456112,-,Tier3_410
chr12,5471127,5471146,-,Tier6_161,chr12:5471127-5471146(-),5,NTF3,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.007,chr12,5471127,5471146,-,Tier6_161
chr12,14954898,14954917,-,Tier6_213,chr12:14954898-14954917(-),6,ARHGDIB,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.006,chr12,14954898,14954917,-,Tier6_213
chr12,17307778,17307797,-,Tier6_200,chr12:17307778-17307797(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.006,chr12,17307778,17307797,-,Tier6_200
chr12,24842786,24842805,+,Tier6_287,chr12:24842786-24842805(+),5,BCAT1,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.005,chr12,24842786,24842805,+,Tier6_287
chr12,29105218,29105237,-,Tier6_554,chr12:29105218-29105237(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr12,29105218,29105237,-,Tier6_554
chr12,29152440,29152459,-,Tier3_8,chr12:29152440-29152459(-),3,FAR2,Intron,NONE,Med.,3,3,OFF,UNCOVERseq,0.133,chr12,29152440,29152459,-,Tier3_8
chr12,37817293,37817310,-,Tier6_207,chr12:37817293-37817310(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.006,chr12,37817293,37817310,-,Tier6_207
chr12,38114609,38114628,+,Tier6_68,chr12:38114609-38114628(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.01,chr12,38114609,38114628,+,Tier6_68
chr12,44693079,44693098,+,Tier6_198,chr12:44693079-44693098(+),6,NELL2,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.006,chr12,44693079,44693098,+,Tier6_198
chr12,47259940,47259959,-,Tier6_516,chr12:47259940-47259959(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr12,47259940,47259959,-,Tier6_516
chr12,58050200,58050219,+,Tier6_245,chr12:58050200-58050219(+),5,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.005,chr12,58050200,58050219,+,Tier6_245
chr12,59472249,59472267,+,Tier6_172,chr12:59472249-59472267(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.007,chr12,59472249,59472267,+,Tier6_172
chr12,62387180,62387199,+,Tier6_32,chr12:62387180-62387199(+),6,USP15,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.018,chr12,62387180,62387199,+,Tier6_32
chr12,65318822,65318841,-,Tier3_124,chr12:65318822-65318841(-),6,MSRB3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.008,chr12,65318822,65318841,-,Tier3_124
chr12,68278195,68278214,+,Tier6_67,chr12:68278195-68278214(+),6,LOC105369818,Other,NONE,Low,6,6,OFF,UNCOVERseq,0.01,chr12,68278195,68278214,+,Tier6_67
chr12,72603052,72603073,+,Tier6_289,chr12:72603052-72603073(+),5,TRHDE,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.005,chr12,72603052,72603073,+,Tier6_289
chr12,88184372,88184391,-,Tier3_7,chr12:88184372-88184391(-),3,TMTC3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.144,chr12,88184372,88184391,-,Tier3_7
chr12,88586481,88586500,-,Tier6_610,chr12:88586481-88586500(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr12,88586481,88586500,-,Tier6_610
chr12,94477333,94477352,+,Tier6_305,chr12:94477333-94477352(+),6,LOC102724960,Other,NONE,Low,6,6,OFF,UNCOVERseq,0.005,chr12,94477333,94477352,+,Tier6_305
chr12,111517151,111517169,+,Tier3_93,chr12:111517151-111517169(+),6,ATXN2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.009,chr12,111517151,111517169,+,Tier3_93
chr12,111518253,111518272,-,OnT,chr12:111518253-111518272(-),1,ATXN2,Exon,NONE,High,1,1,ON,UNCOVERseq,100,chr12,111518253,111518272,-,OnT
chr12,111518749,111518768,-,Tier3_4,chr12:111518749-111518768(-),6,ATXN2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.313,chr12,111518749,111518768,-,Tier3_4
chr12,111519174,111519194,-,Tier3_5,chr12:111519174-111519194(-),5,ATXN2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.173,chr12,111519174,111519194,-,Tier3_5
chr12,120015530,120015548,-,Tier6_379,chr12:120015530-120015548(-),6,BICDL1,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.004,chr12,120015530,120015548,-,Tier6_379
chr12,122940644,122940662,-,Tier6_468,chr12:122940644-122940662(-),6,ABCB9,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.003,chr12,122940644,122940662,-,Tier6_468
chr12,127838175,127838194,-,Tier6_617,chr12:127838175-127838194(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr12,127838175,127838194,-,Tier6_617
chr12,131791053,131791072,+,Tier3_47,chr12:131791053-131791072(+),3,SFSWAP,Intron,NONE,Med.,3,3,OFF,UNCOVERseq,0.013,chr12,131791053,131791072,+,Tier3_47
chr13,18211992,18212009,-,Tier6_24,chr13:18211992-18212009(-),6,FAM230C,Other,NONE,Low,6,6,OFF,UNCOVERseq,0.02,chr13,18211992,18212009,-,Tier6_24
chr13,26126033,26126052,+,Tier6_467,chr13:26126033-26126052(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr13,26126033,26126052,+,Tier6_467
chr13,36083346,36083365,-,Tier3_129,chr13:36083346-36083365(-),5,DCLK1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.008,chr13,36083346,36083365,-,Tier3_129
chr13,56025528,56025547,+,Tier6_178,chr13:56025528-56025547(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.007,chr13,56025528,56025547,+,Tier6_178
chr13,65174021,65174039,-,Tier6_247,chr13:65174021-65174039(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.005,chr13,65174021,65174039,-,Tier6_247
chr13,66486137,66486159,+,Tier3_580,chr13:66486137-66486159(+),6,PCDH9,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.002,chr13,66486137,66486159,+,Tier3_580
chr13,68892754,68892773,-,Tier6_524,chr13:68892754-68892773(-),6,LINC02342,Other,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr13,68892754,68892773,-,Tier6_524
chr13,69323672,69323691,+,Tier6_534,chr13:69323672-69323691(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr13,69323672,69323691,+,Tier6_534
chr13,78949703,78949722,-,Tier6_437,chr13:78949703-78949722(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr13,78949703,78949722,-,Tier6_437
chr13,86552815,86552834,-,Tier6_248,chr13:86552815-86552834(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.005,chr13,86552815,86552834,-,Tier6_248
chr14,21904295,21904314,-,Tier3_426,chr14:21904295-21904314(-),6,TRAV8-5,Exon,NONE,Low,3,3,OFF,UNCOVERseq,0.004,chr14,21904295,21904314,-,Tier3_426
chr14,25670835,25670852,+,Tier6_210,chr14:25670835-25670852(+),5,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.006,chr14,25670835,25670852,+,Tier6_210
chr14,25698804,25698823,-,Tier6_45,chr14:25698804-25698823(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.014,chr14,25698804,25698823,-,Tier6_45
chr14,26316223,26316242,+,Tier6_168,chr14:26316223-26316242(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.007,chr14,26316223,26316242,+,Tier6_168
chr14,32094377,32094396,+,Tier3_225,chr14:32094377-32094396(+),6,ARHGAP5,Exon,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr14,32094377,32094396,+,Tier3_225
chr14,41537086,41537103,-,Tier6_525,chr14:41537086-41537103(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr14,41537086,41537103,-,Tier6_525
chr14,41622942,41622961,+,Tier6_396,chr14:41622942-41622961(+),6,LRFN5,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.004,chr14,41622942,41622961,+,Tier6_396
chr14,48376152,48376171,+,Tier6_201,chr14:48376152-48376171(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.006,chr14,48376152,48376171,+,Tier6_201
chr14,54302542,54302561,+,Tier6_364,chr14:54302542-54302561(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.004,chr14,54302542,54302561,+,Tier6_364
chr14,57291174,57291193,-,Tier3_576,chr14:57291174-57291193(-),6,AP5M1,Exon,NONE,Med.,3,3,OFF,UNCOVERseq,0.002,chr14,57291174,57291193,-,Tier3_576
chr14,59075590,59075609,-,Tier6_490,chr14:59075590-59075609(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr14,59075590,59075609,-,Tier6_490
chr14,72484829,72484849,+,Tier6_202,chr14:72484829-72484849(+),6,RGS6,Intron,NONE,Med.,6,6,OFF,UNCOVERseq,0.006,chr14,72484829,72484849,+,Tier6_202
chr14,80212103,80212122,-,Tier3_41,chr14:80212103-80212122(-),5,DIO2,Exon,NONE,Med.,3,3,OFF,UNCOVERseq,0.015,chr14,80212103,80212122,-,Tier3_41
chr14,84536265,84536284,+,Tier6_439,chr14:84536265-84536284(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.003,chr14,84536265,84536284,+,Tier6_439
chr14,87700442,87700461,-,Tier6_570,chr14:87700442-87700461(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.002,chr14,87700442,87700461,-,Tier6_570
chr14,87940701,87940720,+,Tier3_240,chr14:87940701-87940720(+),6,GALC,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr14,87940701,87940720,+,Tier3_240
chr14,98852286,98852305,-,Tier6_107,chr14:98852286-98852305(-),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.008,chr14,98852286,98852305,-,Tier6_107
chr14,103398393,103398411,-,Tier3_425,chr14:103398393-103398411(-),5,MARK3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr14,103398393,103398411,-,Tier3_425
chr15,20668703,20668723,+,Tier6_286,chr15:20668703-20668723(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.005,chr15,20668703,20668723,+,Tier6_286
chr15,27167025,27167044,-,Tier3_495,chr15:27167025-27167044(-),6,GABRG3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.003,chr15,27167025,27167044,-,Tier3_495
chr15,31026354,31026373,-,Tier3_420,chr15:31026354-31026373(-),6,TRPM1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr15,31026354,31026373,-,Tier3_420
chr15,40012819,40012837,+,Tier3_589,chr15:40012819-40012837(+),6,EIF2AK4,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.002,chr15,40012819,40012837,+,Tier3_589
chr15,41476063,41476082,+,Tier3_499,chr15:41476063-41476082(+),6,RTF1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.003,chr15,41476063,41476082,+,Tier3_499
chr15,47880852,47880871,+,Tier6_76,chr15:47880852-47880871(+),6,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.009,chr15,47880852,47880871,+,Tier6_76
