chr,start,stop,strand,Name,Location,Lev. Dist.,Gene,Annot.,Pool,MAR,Tier,Tier_Final,Site Type,Origin,Avg. % On-Target UMI,orig_chr,orig_start,orig_stop,orig_strand,orig_Name
chr16,46395076,46395103,.,Tier3_16__Tier6_7488,chr16:46395076-46395095(+);chr16:46395097-46395103(-),8;14,none,Intergenic,NONE,Low,3;6,3,OFF,UNCOVERseq,0.378;0.002,chr16,46395076;46395097,46395095;46395103,+;-,Tier3_16;Tier6_7488
chr16,46399524,46399567,+,Tier3_18__Tier6_927,chr16:46399524-46399543(+);chr16:46399548-46399567(+),9;8,none,Intergenic,NONE,Low,3;6,3,OFF,UNCOVERseq,0.328;0.011,chr16,46399524;46399548,46399543;46399567,+,Tier3_18;Tier6_927
chr10,41875439,41875458,+,Tier3_19,chr10:41875439-41875458(+),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.322,chr10,41875439,41875458,+,Tier3_19
chr5,49659910,49659949,-,Tier3_22__Tier6_85__Tier6_1402,chr5:49659910-49659928(-);chr5:49659911-49659920(-);chr5:49659930-49659949(-),7;13;10,none,Intergenic,NONE,Low,3;6;6,3,OFF,UNCOVERseq,0.307;0.084;0.009,chr5,49659910;49659911;49659930,49659928;49659920;49659949,-,Tier3_22;Tier6_85;Tier6_1402
chr5,49659694,49659708,-,Tier5_23,chr5:49659694-49659708(-),11,none,Intergenic,NONE,Low,5,5,OFF,UNCOVERseq,0.258,chr5,49659694,49659708,-,Tier5_23
chr16,46389939,46390084,.,Tier3_24__Tier6_1114__Tier6_800,chr16:46389939-46389958(-);chr16:46390065-46390084(+);chr16:46390070-46390084(+),8;9;10,none,Intergenic,NONE,Low,3;6;6,3,OFF,UNCOVERseq,0.233;0.01;0.012,chr16,46389939;46390065;46390070,46389958;46390084;46390084,-;+;+,Tier3_24;Tier6_1114;Tier6_800
chr4,49139732,49139826,-,Tier3_67__Tier3_25,chr4:49139732-49139751(-);chr4:49139807-49139826(-),10;9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.107;0.23,chr4,49139732;49139807,49139751;49139826,-,Tier3_67;Tier3_25
chr1,634104,634207,.,Tier3_26__Tier5_63,chr1:634104-634123(+);chr1:634195-634207(-),9;11,none,Intergenic,NONE,Low,3;5,3,OFF,UNCOVERseq,0.213;0.116,chr1,634104;634195,634123;634207,+;-,Tier3_26;Tier5_63
chr16,34588344,34588363,+,Tier3_27,chr16:34588344-34588363(+),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.212,chr16,34588344,34588363,+,Tier3_27
chr18,110415,110544,-,Tier6_1714__Tier3_28,chr18:110415-110434(-);chr18:110525-110544(-),7,ROCK1P1,Other,NONE,Low,6;3,3,OFF,UNCOVERseq,0.008;0.195,chr18,110415;110525,110434;110544,-,Tier6_1714;Tier3_28
chr1,10112,10193,-,Tier6_7575__Tier3_29,chr1:10112-10117(-);chr1:10174-10193(-),15;10,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.002;0.19,chr1,10112;10174,10117;10193,-,Tier6_7575;Tier3_29
chr22,50807853,50807870,-,Tier6_269__Tier3_30,chr22:50807853-50807868(-);chr22:50807855-50807870(-),10,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.03;0.189,chr22,50807853;50807855,50807868;50807870,-,Tier6_269;Tier3_30
chr5,11523,11613,-,Tier5_31__Tier6_1366,chr5:11523-11538(-);chr5:11608-11613(-),12;15,none,Intergenic,NONE,Low,5;6,5,OFF,UNCOVERseq,0.176;0.009,chr5,11523;11608,11538;11613,-,Tier5_31;Tier6_1366
chr16,46394945,46395023,+,Tier5_32__Tier6_657,chr16:46394945-46394964(+);chr16:46395004-46395023(+),9,none,Intergenic,NONE,Low,5;6,5,OFF,UNCOVERseq,0.176;0.014,chr16,46394945;46395004,46394964;46395023,+,Tier5_32;Tier6_657
chr4,49137313,49137455,-,Tier3_33__Tier6_2942,chr4:49137313-49137332(-);chr4:49137436-49137455(-),8;9,none,Intergenic,NONE,Low,3;6,3,OFF,UNCOVERseq,0.175;0.006,chr4,49137313;49137436,49137332;49137455,-,Tier3_33;Tier6_2942
chr5,11747,11780,+,Tier6_116__Tier5_35,chr5:11747-11762(+);chr5:11765-11780(+),12,none,Intergenic,NONE,Low,6;5,5,OFF,UNCOVERseq,0.066;0.173,chr5,11747;11765,11762;11780,+,Tier6_116;Tier5_35
chr18,108572,108654,-,Tier3_36__Tier3_333,chr18:108572-108591(-);chr18:108635-108654(-),7;8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.168;0.025,chr18,108572;108635,108591;108654,-,Tier3_36;Tier3_333
chr4,49108178,49108318,-,Tier6_1855__Tier3_37,chr4:49108178-49108197(-);chr4:49108299-49108318(-),9,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.008;0.167,chr4,49108178;49108299,49108197;49108318,-,Tier6_1855;Tier3_37
chr4,49119002,49119021,-,Tier3_38,chr4:49119002-49119021(-),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.166,chr4,49119002,49119021,-,Tier3_38
chr17,21973054,21973073,+,Tier3_39,chr17:21973054-21973073(+),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.164,chr17,21973054,21973073,+,Tier3_39
chr4,49154376,49154395,-,Tier3_40,chr4:49154376-49154395(-),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.162,chr4,49154376,49154395,-,Tier3_40
chr4,49110763,49110782,-,Tier3_41,chr4:49110763-49110782(-),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.16,chr4,49110763,49110782,-,Tier3_41
chr2,89833215,89833234,-,Tier3_42,chr2:89833215-89833234(-),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.158,chr2,89833215,89833234,-,Tier3_42
chr10,41859995,41860052,+,Tier5_44__Tier3_54,chr10:41859995-41860014(+);chr10:41860033-41860052(+),8,none,Intergenic,NONE,Low,5;3,3,OFF,UNCOVERseq,0.154;0.13,chr10,41859995;41860033,41860014;41860052,+,Tier5_44;Tier3_54
chr4,49657788,49657807,+,Tier3_45,chr4:49657788-49657807(+),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.152,chr4,49657788,49657807,+,Tier3_45
chr4,49711655,49711735,+,Tier5_46__Tier6_396,chr4:49711655-49711674(+);chr4:49711716-49711735(+),8;7,none,Intergenic,NONE,Low,5;6,5,OFF,UNCOVERseq,0.149;0.021,chr4,49711655;49711716,49711674;49711735,+,Tier5_46;Tier6_396
chrY,11722135,11722154,+,Tier5_48,chrY:11722135-11722154(+),9,none,Intergenic,NONE,Low,5,5,OFF,UNCOVERseq,0.142,chrY,11722135,11722154,+,Tier5_48
chr16,46390264,46390365,.,Tier3_143__Tier3_49,chr16:46390264-46390283(+);chr16:46390346-46390365(-),9;8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.053;0.142,chr16,46390264;46390346,46390283;46390365,+;-,Tier3_143;Tier3_49
chr16,46398837,46398856,-,Tier3_50__Tier6_203,chr16:46398837-46398856(-);chr16:46398850-46398856(-),8;14,none,Intergenic,NONE,Low,3;6,3,OFF,UNCOVERseq,0.142;0.039,chr16,46398837;46398850,46398856,-,Tier3_50;Tier6_203
chr10,41879541,41879560,+,Tier3_51,chr10:41879541-41879560(+),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.139,chr10,41879541,41879560,+,Tier3_51
chr12,111517420,111517564,-,Tier3_252__Tier3_220__Tier3_52,chr12:111517420-111517439(-);chr12:111517480-111517499(-);chr12:111517545-111517564(-),8,ATXN2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.032;0.036;0.138,chr12,111517420;111517480;111517545,111517439;111517499;111517564,-,Tier3_252;Tier3_220;Tier3_52
chr16,46401542,46401561,+,Tier3_55,chr16:46401542-46401561(+),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.128,chr16,46401542,46401561,+,Tier3_55
chr4,49147468,49147541,-,Tier3_56__Tier3_368,chr4:49147468-49147487(-);chr4:49147522-49147541(-),10;9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.127;0.023,chr4,49147468;49147522,49147487;49147541,-,Tier3_56;Tier3_368
chr5,49666190,49666293,-,Tier6_186__Tier3_57,chr5:49666190-49666209(-);chr5:49666275-49666293(-),8;7,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.042;0.124,chr5,49666190;49666275,49666209;49666293,-,Tier6_186;Tier3_57
chr12,111518994,111519122,.,Tier3_301__Tier3_281__Tier3_58,chr12:111518994-111519013(+);chr12:111519010-111519019(-);chr12:111519103-111519122(-),8;13;8,ATXN2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.027;0.029;0.124,chr12,111518994;111519010;111519103,111519013;111519019;111519122,+;-;-,Tier3_301;Tier3_281;Tier3_58
chr5,10642,10657,+,Tier3_59,chr5:10642-10657(+),12,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.124,chr5,10642,10657,+,Tier3_59
chr5,49657713,49657827,-,Tier6_355__Tier3_60,chr5:49657713-49657732(-);chr5:49657808-49657827(-),9;8,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.023;0.124,chr5,49657713;49657808,49657732;49657827,-,Tier6_355;Tier3_60
chr4,49120997,49121084,-,Tier6_799__Tier3_61__Tier6_534,chr4:49120997-49121016(-);chr4:49121027-49121046(-);chr4:49121066-49121084(-),9,none,Intergenic,NONE,Low,6;3;6,3,OFF,UNCOVERseq,0.012;0.121;0.016,chr4,49120997;49121027;49121066,49121016;49121046;49121084,-,Tier6_799;Tier3_61;Tier6_534
chr16,34583050,34583104,+,Tier3_62__Tier6_107,chr16:34583050-34583069(+);chr16:34583083-34583104(+),9;8,none,Intergenic,NONE,Low,3;6,3,OFF,UNCOVERseq,0.12;0.074,chr16,34583050;34583083,34583069;34583104,+,Tier3_62;Tier6_107
chr1,125183713,125183807,+,Tier6_451__Tier3_64,chr1:125183713-125183732(+);chr1:125183788-125183807(+),9;7,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.019;0.115,chr1,125183713;125183788,125183732;125183807,+,Tier6_451;Tier3_64
chr16,46389668,46389809,.,Tier6_660__Tier3_65,chr16:46389668-46389687(-);chr16:46389790-46389809(+),9,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.014;0.114,chr16,46389668;46389790,46389687;46389809,-;+,Tier6_660;Tier3_65
chr16,46389001,46389020,+,Tier3_66,chr16:46389001-46389020(+),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.111,chr16,46389001,46389020,+,Tier3_66
chr18,80263172,80263223,+,Tier6_234__Tier5_68,chr18:80263172-80263191(+);chr18:80263208-80263223(+),11;12,none,Intergenic,NONE,Low,6;5,5,OFF,UNCOVERseq,0.034;0.107,chr18,80263172;80263208,80263191;80263223,+,Tier6_234;Tier5_68
chr4,49711899,49711918,+,Tier3_69,chr4:49711899-49711918(+),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.105,chr4,49711899,49711918,+,Tier3_69
chr16,46400112,46400232,.,Tier3_70__Tier6_115__Tier6_4627,chr16:46400112-46400131(-);chr16:46400213-46400232(+);chr16:46400214-46400232(+),8;9;9,none,Intergenic,NONE,Low,3;6;6,3,OFF,UNCOVERseq,0.105;0.067;0.005,chr16,46400112;46400213;46400214,46400131;46400232;46400232,-;+;+,Tier3_70;Tier6_115;Tier6_4627
chr16,46390130,46390238,+,Tier5_71__Tier6_238,chr16:46390130-46390149(+);chr16:46390219-46390238(+),9,none,Intergenic,NONE,Low,5;6,5,OFF,UNCOVERseq,0.104;0.033,chr16,46390130;46390219,46390149;46390238,+,Tier5_71;Tier6_238
chr4,49109833,49109886,-,Tier3_72__Tier3_2056,chr4:49109833-49109852(-);chr4:49109867-49109886(-),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.102;0.008,chr4,49109833;49109867,49109852;49109886,-,Tier3_72;Tier3_2056
chr4,49092727,49092746,-,Tier3_73,chr4:49092727-49092746(-),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.1,chr4,49092727,49092746,-,Tier3_73
chr16,46401046,46401092,+,Tier3_74__Tier6_169__Tier6_828,chr16:46401046-46401065(+);chr16:46401049-46401065(+);chr16:46401077-46401092(+),8;9;10,none,Intergenic,NONE,Low,3;6;6,3,OFF,UNCOVERseq,0.098;0.045;0.012,chr16,46401046;46401049;46401077,46401065;46401065;46401092,+,Tier3_74;Tier6_169;Tier6_828
chr16,46386517,46386583,+,Tier6_673__Tier3_75,chr16:46386517-46386536(+);chr16:46386564-46386583(+),9;8,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.014;0.094,chr16,46386517;46386564,46386536;46386583,+,Tier6_673;Tier3_75
chr12,10066,10081,-,Tier6_76,chr12:10066-10081(-),12,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.092,chr12,10066,10081,-,Tier6_76
chr18,80262878,80262992,-,Tier3_77__Tier6_103,chr18:80262878-80262897(-);chr18:80262977-80262992(-),9;12,none,Intergenic,NONE,Low,3;6,3,OFF,UNCOVERseq,0.092;0.076,chr18,80262878;80262977,80262897;80262992,-,Tier3_77;Tier6_103
chr21,10692863,10692882,-,Tier3_78,chr21:10692863-10692882(-),10,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.091,chr21,10692863,10692882,-,Tier3_78
chr4,190179591,190179679,+,Tier3_289__Tier3_765__Tier3_79,chr4:190179591-190179609(+);chr4:190179591-190179610(+);chr4:190179660-190179679(+),7,DUX4,Other,NONE,High,3,3,OFF,UNCOVERseq,0.028;0.013;0.09,chr4,190179591;190179591;190179660,190179609;190179610;190179679,+,Tier3_289;Tier3_765;Tier3_79
chr4,49102410,49102501,-,Tier3_312__Tier3_80,chr4:49102410-49102429(-);chr4:49102482-49102501(-),10;9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.026;0.089,chr4,49102410;49102482,49102429;49102501,-,Tier3_312;Tier3_80
chr5,49658480,49658499,-,Tier6_81,chr5:49658480-49658499(-),9,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.088,chr5,49658480,49658499,-,Tier6_81
chr4,49154672,49154693,.,Tier6_2719__Tier6_82,chr4:49154672-49154691(-);chr4:49154685-49154693(+),10;13,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.007;0.088,chr4,49154672;49154685,49154691;49154693,-;+,Tier6_2719;Tier6_82
chr12,111517846,111517922,-,Tier3_257__Tier3_83__Tier3_124,chr12:111517846-111517858(-);chr12:111517846-111517865(-);chr12:111517903-111517922(-),11;8;9,ATXN2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.031;0.088;0.06,chr12,111517846;111517846;111517903,111517858;111517865;111517922,-,Tier3_257;Tier3_83;Tier3_124
chr16,46394490,46394571,.,Tier3_218__Tier6_86,chr16:46394490-46394509(-);chr16:46394552-46394571(+),8,none,Intergenic,NONE,Low,3;6,3,OFF,UNCOVERseq,0.036;0.083,chr16,46394490;46394552,46394509;46394571,-;+,Tier3_218;Tier6_86
chr16,46391241,46391329,.,Tier6_1744__Tier3_87,chr16:46391241-46391260(+);chr16:46391310-46391329(-),10;9,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.008;0.083,chr16,46391241;46391310,46391260;46391329,+;-,Tier6_1744;Tier3_87
chr1,143214736,143214755,+,Tier3_88,chr1:143214736-143214755(+),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.082,chr1,143214736,143214755,+,Tier3_88
chr16,46400503,46400632,+,Tier6_907__Tier6_465__Tier3_89__Tier6_7805,chr16:46400503-46400515(+);chr16:46400503-46400522(+);chr16:46400529-46400548(+);chr16:46400615-46400632(+),12;9;7;10,none,Intergenic,NONE,Low,6;6;3;6,3,OFF,UNCOVERseq,0.011;0.018;0.081;0.002,chr16,46400503;46400503;46400529;46400615,46400515;46400522;46400548;46400632,+,Tier6_907;Tier6_465;Tier3_89;Tier6_7805
chr5,49661020,49661143,-,Tier3_90__Tier3_221,chr5:49661020-49661039(-);chr5:49661124-49661143(-),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.081;0.035,chr5,49661020;49661124,49661039;49661143,-,Tier3_90;Tier3_221
chr1,180728,180853,-,Tier6_317__Tier6_128__Tier6_91,chr1:180728-180747(-);chr1:180842-180850(-);chr1:180842-180853(-),10;13;11,LOC100996442,Other,NONE,Low,6,6,OFF,UNCOVERseq,0.026;0.058;0.08,chr1,180728;180842;180842,180747;180850;180853,-,Tier6_317;Tier6_128;Tier6_91
chr5,49661779,49661798,-,Tier3_92,chr5:49661779-49661798(-),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.079,chr5,49661779,49661798,-,Tier3_92
chrY,11747628,11747771,+,Tier3_331__Tier3_93,chrY:11747628-11747647(+);chrY:11747752-11747771(+),8;7,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.025;0.079,chrY,11747628;11747752,11747647;11747771,+,Tier3_331;Tier3_93
chr16,34588207,34588226,-,Tier3_94,chr16:34588207-34588226(-),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.079,chr16,34588207,34588226,-,Tier3_94
chr16,34592535,34592643,.,Tier6_943__Tier6_96__Tier3_95,chr16:34592535-34592554(-);chr16:34592543-34592554(-);chr16:34592624-34592643(+),9;11;8,none,Intergenic,NONE,Low,6;6;3,3,OFF,UNCOVERseq,0.011;0.078;0.079,chr16,34592535;34592543;34592624,34592554;34592554;34592643,-;-;+,Tier6_943;Tier6_96;Tier3_95
chr12,111518520,111518653,+,Tier3_179__Tier3_381__Tier3_98,chr12:111518520-111518539(+);chr12:111518540-111518549(+);chr12:111518634-111518653(+),9;12;9,ATXN2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.043;0.022;0.078,chr12,111518520;111518540;111518634,111518539;111518549;111518653,+,Tier3_179;Tier3_381;Tier3_98
chr21,7926292,7926311,-,Tier3_99,chr21:7926292-7926311(-),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.077,chr21,7926292,7926311,-,Tier3_99
chr4,49657528,49657547,+,Tier3_100,chr4:49657528-49657547(+),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.076,chr4,49657528,49657547,+,Tier3_100
chr16,34582412,34582431,+,Tier3_101,chr16:34582412-34582431(+),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.076,chr16,34582412,34582431,+,Tier3_101
chr16,34582229,34582365,+,Tier6_933__Tier3_102,chr16:34582229-34582248(+);chr16:34582346-34582365(+),9;7,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.011;0.076,chr16,34582229;34582346,34582248;34582365,+,Tier6_933;Tier3_102
chr16,46400841,46400898,+,Tier6_945__Tier3_680__Tier6_104,chr16:46400841-46400853(+);chr16:46400841-46400860(+);chr16:46400879-46400898(+),12;9;8,none,Intergenic,NONE,Low,6;3;6,3,OFF,UNCOVERseq,0.011;0.014;0.076,chr16,46400841;46400841;46400879,46400853;46400860;46400898,+,Tier6_945;Tier3_680;Tier6_104
chr16,34583719,34583840,.,Tier6_105__Tier6_1049__Tier6_2619,chr16:34583719-34583738(-);chr16:34583784-34583802(+);chr16:34583821-34583840(-),8;9;8,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.076;0.011;0.007,chr16,34583719;34583784;34583821,34583738;34583802;34583840,-;+;-,Tier6_105;Tier6_1049;Tier6_2619
chr16,34582867,34582886,-,Tier3_106,chr16:34582867-34582886(-),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.074,chr16,34582867,34582886,-,Tier3_106
chr13,18212093,18212112,+,Tier3_108,chr13:18212093-18212112(+),8,FAM230C,Other,NONE,Low,3,3,OFF,UNCOVERseq,0.072,chr13,18212093,18212112,+,Tier3_108
chr16,34586977,34586996,-,Tier3_110__Tier6_842,chr16:34586977-34586996(-);chr16:34586978-34586996(-),8,none,Intergenic,NONE,Low,3;6,3,OFF,UNCOVERseq,0.069;0.012,chr16,34586977;34586978,34586996,-,Tier3_110;Tier6_842
chr10,41883239,41883258,+,Tier3_111,chr10:41883239-41883258(+),7,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.068,chr10,41883239,41883258,+,Tier3_111
chr5,49659523,49659542,-,Tier3_112__Tier6_510,chr5:49659523-49659542(-);chr5:49659533-49659542(-),8;12,none,Intergenic,NONE,Low,3;6,3,OFF,UNCOVERseq,0.068;0.017,chr5,49659523;49659533,49659542,-,Tier3_112;Tier6_510
chr1,125182531,125182550,-,Tier3_113,chr1:125182531-125182550(-),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.068,chr1,125182531,125182550,-,Tier3_113
chr4,49092872,49092891,-,Tier3_114,chr4:49092872-49092891(-),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.067,chr4,49092872,49092891,-,Tier3_114
chr12,111517695,111517751,.,Tier3_117__Tier3_1148,chr12:111517695-111517714(+);chr12:111517732-111517751(-),8,ATXN2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.066;0.01,chr12,111517695;111517732,111517714;111517751,+;-,Tier3_117;Tier3_1148
chr12,10205,10327,+,Tier6_309__Tier6_118__Tier6_376,chr12:10205-10219(+);chr12:10217-10231(+);chr12:10308-10327(+),12;12;10,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.027;0.065;0.022,chr12,10205;10217;10308,10219;10231;10327,+,Tier6_309;Tier6_118;Tier6_376
chr16,46399010,46399098,.,Tier6_2438__Tier6_1038__Tier3_119,chr16:46399010-46399029(+);chr16:46399056-46399075(-);chr16:46399079-46399098(-),8;9;8,none,Intergenic,NONE,Low,6;6;3,3,OFF,UNCOVERseq,0.007;0.011;0.065,chr16,46399010;46399056;46399079,46399029;46399075;46399098,+;-;-,Tier6_2438;Tier6_1038;Tier3_119
chr5,49602390,49602510,+,Tier3_121__Tier6_3095__Tier3_219,chr5:49602390-49602409(+);chr5:49602471-49602490(+);chr5:49602491-49602510(+),9,none,Intergenic,NONE,Low,3;6;3,3,OFF,UNCOVERseq,0.063;0.006;0.036,chr5,49602390;49602471;49602491,49602409;49602490;49602510,+,Tier3_121;Tier6_3095;Tier3_219
chrY,11312715,11312830,+,Tier3_122__Tier6_1079,chrY:11312715-11312734(+);chrY:11312811-11312830(+),8,none,Intergenic,NONE,Low,3;6,3,OFF,UNCOVERseq,0.063;0.011,chrY,11312715;11312811,11312734;11312830,+,Tier3_122;Tier6_1079
chr4,190122889,190122896,.,Tier6_2443__Tier6_123__Tier6_2772,chr4:190122889-190122895(+);chr4:190122890-190122895(+);chr4:190122891-190122896(-),14;14;15,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.007;0.062;0.007,chr4,190122889;190122890;190122891,190122895;190122895;190122896,+;+;-,Tier6_2443;Tier6_123;Tier6_2772
chr2,89831135,89831154,-,Tier6_125,chr2:89831135-89831154(-),7,none,Intergenic,NONE,Low,6,6,OFF,UNCOVERseq,0.06,chr2,89831135,89831154,-,Tier6_125
chr5,80864783,80864802,-,Tier3_126,chr5:80864783-80864802(-),8,MSH3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.06,chr5,80864783,80864802,-,Tier3_126
chrY,11324697,11324784,+,Tier6_253__Tier3_127,chrY:11324697-11324716(+);chrY:11324765-11324784(+),7,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.032;0.058,chrY,11324697;11324765,11324716;11324784,+,Tier6_253;Tier3_127
chr16,46401174,46401252,+,Tier6_929__Tier3_129,chr16:46401174-46401193(+);chr16:46401233-46401252(+),9,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.011;0.058,chr16,46401174;46401233,46401193;46401252,+,Tier6_929;Tier3_129
chr9,34999256,34999275,+,Tier3_130,chr9:34999256-34999275(+),8,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.057,chr9,34999256,34999275,+,Tier3_130
chr10,10465,10484,+,Tier3_131,chr10:10465-10484(+),9,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.057,chr10,10465,10484,+,Tier3_131
